movie_slug,subgenre_name
beavis-and-butt-head-do-america,comedy film
beavis-and-butt-head-do-america,crime film
beavis-and-butt-head-do-america,music-themed film
bedazzled,comedy film
bedazzled,fantasy film
bedazzled,satanic film
bee-movie,adventure film
bee-movie,animated film
bee-movie,comedy film
beetlejuice,comedy horror
beetlejuice,dark fantasy
beetlejuice,fantasy film
beetlejuice,ghost film
beetlejuice,Gothic film
before-midnight,silent film
before-night-falls,biographical film
before-night-falls,drama film
before-night-falls,LGBTQ-related film
before-night-falls,romance film
before-sunrise,action film
before-sunrise,war film
before-the-devil-knows-youre-dead,action film
before-the-devil-knows-youre-dead,drama film
before-the-devil-knows-youre-dead,film noir
before-the-devil-knows-youre-dead,heist film
before-the-devil-knows-youre-dead,satanic film
beginners,drama film
beginners,LGBTQ-related film
beginners,romantic comedy
being-17,drama film
being-17,LGBTQ-related film
being-john-malkovich,comedy drama
being-john-malkovich,comedy film
being-john-malkovich,drama film
being-john-malkovich,fantasy film
being-john-malkovich,surrealist film
being-there,comedy drama
ben-hur-1959,action film
ben-hur-1959,drama film
ben-hur-1959,epic film
ben-hur-1959,sword-and-sandal film
bending-the-arc,documentary film
best-in-show,comedy film
best-in-show,LGBTQ-related film
between-the-temples,comedy film
between-the-temples,drama film
beverly-hills-cop,action film
beverly-hills-cop,buddy cop film
beverly-hills-cop,buddy film
beverly-hills-cop,comedy film
beverly-hills-cop-ii,action film
beverly-hills-cop-ii,buddy cop film
beverly-hills-cop-ii,comedy film
beyond-utopia,documentary film
bicentennial-man,children's film
bicentennial-man,drama film
bicentennial-man,science fiction film
big-daddy,horror film
big-fat-liar,comedy film
big-fish,comedy film
big-fish,drama film
big-fish,fantasy film
big-fish,magic realist film
big-fish,werewolf film
big-men,documentary film
big-night,comedy film
big-night,drama film
big-trouble-in-little-china,action film
big-trouble-in-little-china,comedy film
big-trouble-in-little-china,fantasy film
big-trouble-in-little-china,martial arts film
bigger-stronger-faster,documentary film
bill-teds-bogus-journey,buddy film
bill-teds-bogus-journey,fantasy film
bill-teds-bogus-journey,ghost film
bill-teds-bogus-journey,parody film
bill-teds-bogus-journey,science fiction comedy
bill-teds-bogus-journey,science fiction film
bill-teds-bogus-journey,teen film
bill-teds-bogus-journey,time-travel film
bill-teds-excellent-adventure,buddy film
bill-teds-excellent-adventure,comedy film
bill-teds-excellent-adventure,science fiction comedy
bill-teds-excellent-adventure,science fiction film
bill-teds-excellent-adventure,teen film
bill-teds-excellent-adventure,time-travel film
billy-elliot,comedy drama
billy-elliot,coming-of-age film
billy-elliot,drama film
billy-madison,comedy film
billy-madison,coming-of-age film
birdman-or-the-unexpected-virtue-of-ignorance,black comedy
birdman-or-the-unexpected-virtue-of-ignorance,comedy film
birdman-or-the-unexpected-virtue-of-ignorance,drama film
birdman-or-the-unexpected-virtue-of-ignorance,tragicomedy
birth,action anime and manga
birth,adventure anime and manga
birth,science fiction anime and manga
bisbee-17,documentary film
biutiful,drama film
black-bag,drama film
black-bag,mystery film
black-bag,spy film
black-bag,thriller film
black-box-diaries,documentary film
black-hawk-down,action film
black-hawk-down,adventure film
black-hawk-down,drama film
black-hawk-down,historical drama film
black-hawk-down,historical film
black-hawk-down,suspense film
black-hawk-down,thriller film
black-hawk-down,war film
black-narcissus,drama film
black-orpheus,comedy film
black-orpheus,drama film
black-orpheus,fantasy film
black-orpheus,musical film
black-orpheus,romance film
black-sabbath,anthology film
black-sabbath,fantasy film
black-sabbath,ghost film
black-sabbath,Gothic film
black-sabbath,gothic horror film
black-sabbath,horror film
black-sabbath,LGBTQ-related film
black-sabbath,supernatural film
black-sabbath,supernatural horror film
black-sabbath,vampire film
black-snake-moan,drama fiction
black-snake-moan,drama film
black-snake-moan,musical film
blackfish,documentary film
blackkklansman,biographical film
blackkklansman,crime film
blackkklansman,drama film
blade,thriller film
blade-ii,action film
blade-ii,fantasy film
blade-ii,horror film
blade-ii,neo-noir
blade-ii,science fiction film
blade-ii,science fiction horror film
blade-ii,thriller film
blade-ii,vampire film
blade-runner,action film
blade-runner,crime drama film
blade-runner,crime film
blade-runner,crime thriller film
blade-runner,cyberpunk
blade-runner,drama film
blade-runner,dystopian film
blade-runner,film noir
blade-runner,neo-noir
blade-runner,science fiction film
blade-runner,tech noir
blade-runner,thriller film
blade-runner-2049,action film
blade-runner-2049,cyberpunk
blade-runner-2049,drama film
blade-runner-2049,dystopian film
blade-runner-2049,mystery film
blade-runner-2049,neo-noir
blade-runner-2049,science fiction film
blade-runner-2049,thriller film
blades-of-glory,buddy film
blades-of-glory,comedy film
blancanieves,cinematic fairy tale
blancanieves,drama film
blancanieves,fantasy film
blancanieves,silent film
blast-from-the-past,LGBTQ-related film
blast-from-the-past,romantic comedy
blissfully-yours,erotic film
blissfully-yours,romance film
blknws-terms-conditions,documentary film
blood-simple,action film
blood-simple,crime drama film
blood-simple,crime film
blood-simple,crime thriller film
blood-simple,drama film
blood-simple,film noir
blood-simple,horror film
blood-simple,independent film
blood-simple,neo-noir
blood-simple,suspense film
blood-simple,thriller film
bloody-nose-empty-pockets,documentary film
bloody-sunday,docudrama
bloody-sunday,drama film
bloody-sunday,political drama
bloody-sunday,war film
blow,biographical film
blow,crime film
blow,drama film
blow,prison film
blow-out,action film
blow-out,crime drama film
blow-out,crime film
blow-out,crime thriller film
blow-out,drama film
blow-out,independent film
blow-out,mystery film
blow-out,neo-noir
blow-out,police procedural film
blow-out,political thriller film
blow-out,psychological drama film
blow-out,psychological thriller film
blow-out,suspense film
blow-out,thriller film
blow-up,drama film
blow-up,mystery film
blow-up,thriller film
blue-film,drama film
blue-film,LGBTQ-related film
blue-heron,drama film
blue-jean,drama film
blue-jean,LGBTQ-related film
blue-streak,action film
blue-streak,buddy cop film
blue-streak,comedy film
blue-streak,heist film
blue-valentine,drama film
blue-valentine,erotic film
blue-valentine,romance film
blue-velvet,crime drama film
blue-velvet,crime film
blue-velvet,crime thriller film
blue-velvet,drama film
blue-velvet,erotic film
blue-velvet,erotic thriller film
blue-velvet,horror film
blue-velvet,independent film
blue-velvet,mystery film
blue-velvet,neo-noir
blue-velvet,psychological drama film
blue-velvet,psychological horror film
blue-velvet,psychological thriller film
blue-velvet,romance film
blue-velvet,thriller film
bob-dylan-dont-look-back,documentary film
bob-dylan-dont-look-back,rockumentary
body-heat,drama film
body-heat,erotic film
body-heat,erotic thriller
body-heat,mystery film
body-heat,neo-noir
body-heat,thriller film
body-of-lies,action film
body-of-lies,drama film
body-of-lies,political thriller film
